ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.584549.peg.183	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.184	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.185	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.186	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.187	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.188	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.189	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.190	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.191	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.192	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.193	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.194	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.195	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.196	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.197	29.1	Streptomyces sp. CC213Dhybcontrimo	bacteriocin	bacteriocin		
fig|6666666.584549.peg.348	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.349	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.350	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.351	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.352	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.353	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.354	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.355	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.356	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.357	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.358	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.359	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.360	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.361	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.362	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.363	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.364	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.365	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.366	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.367	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.368	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.369	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.370	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.rna.3	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.371	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.372	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.373	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.374	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.375	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.rna.4	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.rna.5	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.376	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.377	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.378	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.379	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.380	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.381	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.382	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.383	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.384	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.385	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
fig|6666666.584549.peg.386	69.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	25
