ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.563199.peg.449	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.450	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.451	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.452	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.453	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.454	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.455	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.456	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.457	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.458	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.459	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.460	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.461	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.462	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.463	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.464	1.1	Streptomyces sp. CC208B	melanin	melanin	melanin	28
fig|6666666.563199.peg.645	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.646	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.647	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.648	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.649	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.650	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.651	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.652	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.653	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.654	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.655	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.656	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.657	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.658	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.659	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.660	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.661	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.662	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.663	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.664	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.665	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.666	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.667	1.2	Streptomyces sp. CC208B	terpene	terpene	carotenoid	45
fig|6666666.563199.peg.674	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.675	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.676	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.677	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.678	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.679	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.680	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.681	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.682	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.683	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.684	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.685	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.686	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.687	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.688	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.689	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.690	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.691	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.692	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.693	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.694	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.695	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.696	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.697	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.698	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.699	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.700	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.701	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.702	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.703	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.704	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.705	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.706	1.3	Streptomyces sp. CC208B	terpene	terpene	hopene	46
fig|6666666.563199.peg.959	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.960	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.961	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.962	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.963	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.964	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.965	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.966	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.967	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.968	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.969	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.970	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.971	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.972	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.973	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.974	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.975	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.976	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.977	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.978	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.979	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.980	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.981	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.982	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.983	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.984	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
fig|6666666.563199.peg.985	1.4	Streptomyces sp. CC208B	transAT-PKS	T1PKS	daptomycin	6
