SEED_ID	File	Organism	Cluster_product	Original_file	contig _data	Cluster	Contig	Most similar known cluster	Similarity
1823.7.peg.7521	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7522	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7523	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7524	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7525	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7526	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7527	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7528	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7529	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7530	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7531	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7532	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
1823.7.peg.7533	c00002_C1_CC20...region001.gbk	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	 C1_CC201C_contig_9	 C1 CC201C contig 9	1	9		
