ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.737887.peg.949	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.950	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.951	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.952	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.953	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.954	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.955	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.956	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.957	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.958	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.959	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.960	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.961	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.962	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.963	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.964	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.965	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.966	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.967	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.968	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.969	98.1	Streptomyces sp CC208A	terpene	terpene	arsono-polyketide	12
fig|6666666.737887.peg.1049	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1050	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1051	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1052	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1053	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1054	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1055	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1056	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1057	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1058	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1059	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1060	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1061	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1062	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1063	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1064	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1065	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1066	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1067	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.1861	38.1	Streptomyces sp CC208A	butyrolactone	butyrolactone	griseoviridin / fijimycin A	8
fig|6666666.737887.peg.1862	38.1	Streptomyces sp CC208A	butyrolactone	butyrolactone	griseoviridin / fijimycin A	8
fig|6666666.737887.peg.1863	38.1	Streptomyces sp CC208A	butyrolactone	butyrolactone	griseoviridin / fijimycin A	8
fig|6666666.737887.peg.1864	38.1	Streptomyces sp CC208A	butyrolactone	butyrolactone	griseoviridin / fijimycin A	8
fig|6666666.737887.peg.1865	38.1	Streptomyces sp CC208A	butyrolactone	butyrolactone	griseoviridin / fijimycin A	8
fig|6666666.737887.peg.1866	38.1	Streptomyces sp CC208A	butyrolactone	butyrolactone	griseoviridin / fijimycin A	8
fig|6666666.737887.peg.1895	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1896	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1897	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1898	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1899	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1900	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1901	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1902	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1903	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1904	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1905	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1906	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1907	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1908	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1909	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1910	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1911	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1912	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1913	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1914	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1915	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1916	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1917	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1918	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1919	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1920	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1921	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1922	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1923	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1924	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1925	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.1926	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
