Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|1823.7.peg.4213	Yes	Nocardia__otitidiscaviarum_sp._CC201C	terpene	351	1	0	0
fig|6666666.540227.peg.1397	Yes	Nocardia_sp._CC227C	NRPS	12	1	0	0
fig|6666666.540227.peg.2808	Yes	Nocardia_sp._CC227C	NRPS	2	2	A40926 | NRP:Glycopeptide + Saccharide:Hybrid/tailoring	7
fig|6666666.540227.peg.3060	Yes	Nocardia_sp._CC227C	NRPS	2	4	lugnomycin | Polyketide	11
fig|6666666.540227.peg.4202	Yes	Nocardia_sp._CC227C	NRPS	3	1	0	0
fig|6666666.540227.peg.4269	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.4781	Yes	Nocardia_sp._CC227C	NRPS	33	1	isorenieratene	18
fig|6666666.540227.peg.5593	Yes	Nocardia_sp._CC227C	T1PKS	5	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540227.peg.5616	Yes	Nocardia_sp._CC227C	T1PKS	5	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540227.peg.6243	Yes	Nocardia_sp._CC227C	NRPS	6	1	calicheamicin | Polyketide	4
fig|6666666.540227.peg.6583	Yes	Nocardia_sp._CC227C	T2PKS	7	2	enterocin | Polyketide:Type II	60
fig|6666666.540227.peg.6670	Yes	Nocardia_sp._CC227C	NRPS-like	7	3	BD-12 | NRP	7
fig|6666666.540612.peg.1918	Yes	Streptomyces_sp._CC210A	NRPS	2	1	feclymycin | NRP	47
fig|6666666.540612.peg.202	Yes	Streptomyces_sp._CC210A	lanthipeptide	100	1	venezuelin | RiPP:Lanthipeptide	75
fig|6666666.540612.peg.5365	Yes	Streptomyces_sp._CC210A	NRPS	57	1	malonomycin | NRP + Polyketide	11
fig|6666666.540612.peg.717	Yes	Streptomyces_sp._CC210A	terpene	126	1	0	0
fig|6666666.540612.peg.854	Yes	Streptomyces_sp._CC210A	PKS-like	132	1	0	0
fig|6666666.540612.peg.918	Yes	Streptomyces_sp._CC210A	thiopeptide	138	1	0	0
fig|6666666.540613.peg.1094	Yes	Nocardia_sp._CC213A	NRPS	11	1	calicheamicin | Polyketide	4
fig|6666666.540613.peg.1314	Yes	Nocardia_sp._CC213A	bacteriocin	12	1	isorenieratene | Terpene	18
fig|6666666.540613.peg.3214	Yes	Nocardia_sp._CC213A	NRPS	2	2	heterobactin A | heterobactin S2 | NRP	72
fig|6666666.540613.peg.3297	Yes	Nocardia_sp._CC213A	NRPS	2	3	A40926 | NRP:Glycopectide + Saccharide:Hybrid/tailoring	5
fig|6666666.540613.peg.3308	Yes	Nocardia_sp._CC213A	NRPS	2	3	A40926 | NRP:Glycopectide + Saccharide:Hybrid/tailoring	5
fig|6666666.540613.peg.3756	Yes	Nocardia_sp._CC213A	T1PKS	22	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540613.peg.3779	Yes	Nocardia_sp._CC213A	T1PKS	22	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540613.peg.3895	Yes	Nocardia_sp._CC213A	butyrolactone	23	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540613.peg.5979	Yes	Nocardia_sp._CC213A	NRPS	4	1	nocobactin NA | NRP + Polyketide	37
fig|6666666.540613.peg.6469	Yes	Nocardia_sp._CC213A	NRPS	6	1	aurantimycin A | NRP + Polyketide	6
fig|6666666.540615.peg.1568	Yes	Nocardia_sp._CC216A	NRPS	13	1	isorenieratene | Terpene	18
fig|6666666.540615.peg.2366	Yes	Nocardia_sp._CC216A	T1PKS	18	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540615.peg.2389	Yes	Nocardia_sp._CC216A	T1PKS	18	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540615.peg.2504	Yes	Nocardia_sp._CC216A	butyrolactone	19	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540615.peg.2899	Yes	Nocardia_sp._CC216A	NRPS	2	2	heterobactin A | heterobactin S2 | NRP	72
fig|6666666.540615.peg.2980	Yes	Nocardia_sp._CC216A	NRPS	2	3	A40926 | NRP:Glycopetide + Saccharide:Hybrid/tailoring	5
fig|6666666.540615.peg.2991	Yes	Nocardia_sp._CC216A	NRPS	2	3	A40926 | NRP:Glycopetide + Saccharide:Hybrid/tailoring	5
fig|6666666.540615.peg.4467	Yes	Nocardia_sp._CC216A	NRPS	3	1	amychelin | NRP	18
fig|6666666.540615.peg.4997	Yes	Nocardia_sp._CC216A	NRPS	32	1	aurantimycin A | NRP + Polyketide	6
fig|6666666.540615.peg.5230	Yes	Nocardia_sp._CC216A	NRPS	36	1	0	0
fig|6666666.540615.peg.828	Yes	Nocardia_sp._CC216A	NRPS	10	1	calicheamicin | Polyketide	4
fig|6666666.540620.peg.10638	Yes	Streptomyces_sp._CC226D	T1PKS	51	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540620.peg.10660	Yes	Streptomyces_sp._CC226D	T1PKS	51	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540620.peg.11208	Yes	Streptomyces_sp._CC226D	NRPS	56	1	sarpeptin A | sarpeptin B | NRP	91
fig|6666666.540620.peg.11218	Yes	Streptomyces_sp._CC226D	NRPS	56	1	sarpeptin A | sarpeptin B | NRP	91
fig|6666666.540620.peg.12704	Yes	Streptomyces_sp._CC226D	lassopeptide	68	1	keywimysin | RiPP	100
fig|6666666.540620.peg.13237	Yes	Streptomyces_sp._CC226D	lanthipeptide	71	1	chalcomycin A | Polyketide	9
fig|6666666.540620.peg.13239	Yes	Streptomyces_sp._CC226D	lanthipeptide	71	1	chalcomycin A | Polyketide	9
fig|6666666.540620.peg.13575	Yes	Streptomyces_sp._CC226D	thioamide-NRP	76	1	atratumycin | NRP	21
fig|6666666.540620.peg.13743	Yes	Streptomyces_sp._CC226D	NRPS	79	1	isorenieratene | Terpene	18
fig|6666666.540620.peg.14473	Yes	Streptomyces_sp._CC226D	NRPS	88	1	atratumycin | NRP	5
fig|6666666.540620.peg.14746	Yes	Streptomyces_sp._CC226D	NRPS	9	2	polyoxypeptin | NRP + Polyketide	8
fig|6666666.540620.peg.14761	Yes	Streptomyces_sp._CC226D	NRPS	9	2	polyoxypeptin | NRP + Polyketide	8
fig|6666666.540620.peg.2123	Yes	Streptomyces_sp._CC226D	lanthipeptide	123	1	AmfS | RiPP:Lanthipeptide	100
fig|6666666.540620.peg.2656	Yes	Streptomyces_sp._CC226D	terpene	138	1	isorenieratene | Terpene	87
fig|6666666.540620.peg.344	Yes	Streptomyces_sp._CC226D	NRPS	1	1	calicheamicin | Polyketide	4
fig|6666666.540620.peg.4340	Yes	Streptomyces_sp._CC226D	T1PKS	2	1	collismycin A | NRP + Polyketide:Modular type I	85
fig|6666666.540620.peg.6084	Yes	Streptomyces_sp._CC226D	NRPS	26	1	enduracidin | NRP	8
