ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.540621.peg.1416	24.1	Nocardiopsis sp. CC223A	NRPS	NRPS		
fig|6666666.540621.peg.1417	24.1	Nocardiopsis sp. CC223A	NRPS	NRPS		
fig|6666666.540621.peg.493	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.494	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.495	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.496	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.497	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.498	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.499	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.500	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.501	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.502	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.503	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.504	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.505	98.1	Nocardiopsis sp. CC223A	LAP	thiopeptide		
fig|6666666.540621.peg.227	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.228	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.229	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.230	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.231	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.232	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.233	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.234	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.235	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.236	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.237	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.238	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.239	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.240	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.241	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.242	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.243	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.244	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.245	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.246	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.247	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.248	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.249	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.250	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.251	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.252	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.253	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.254	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.255	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.256	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.257	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.258	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.259	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.260	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.261	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.262	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.263	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.264	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.265	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.266	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.rna.2	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.rna.3	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.267	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.268	155.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS	chalcomycin A	12
fig|6666666.540621.peg.285	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.286	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.287	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.288	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.289	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.290	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.291	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.292	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.293	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.294	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.295	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.296	155.2	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2414	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2415	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2416	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2417	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2418	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2419	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2420	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2421	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2422	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540621.peg.2712	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2713	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2714	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2715	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2716	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2717	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2718	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2719	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2720	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2721	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2722	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2723	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2724	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2725	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.2726	31.1	Nocardiopsis sp. CC223A	terpene	terpene	2-methylisoborneol	75
fig|6666666.540621.peg.3293	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3294	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3295	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3296	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3297	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3298	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3299	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3300	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3301	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3302	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3303	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3304	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3305	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3306	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3307	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3308	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3309	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3310	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3311	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3312	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3313	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3314	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3315	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3316	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3317	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3318	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3319	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3320	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3321	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3322	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3323	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3324	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3325	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3326	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3327	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3328	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.3354	175.1	Nocardiopsis sp. CC223A	bacteriocin	bacteriocin		
fig|6666666.540621.peg.3355	175.1	Nocardiopsis sp. CC223A	bacteriocin	bacteriocin		
fig|6666666.540621.peg.3356	175.1	Nocardiopsis sp. CC223A	bacteriocin	bacteriocin		
fig|6666666.540621.peg.3357	175.1	Nocardiopsis sp. CC223A	bacteriocin	bacteriocin		
fig|6666666.540621.peg.3358	175.1	Nocardiopsis sp. CC223A	bacteriocin	bacteriocin		
fig|6666666.540621.peg.3359	175.1	Nocardiopsis sp. CC223A	bacteriocin	bacteriocin		
fig|6666666.540621.peg.3595	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3596	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3597	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3598	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3599	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3600	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3601	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3602	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3603	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3604	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3605	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3606	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3607	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3608	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3609	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3610	7.1	Nocardiopsis sp. CC223A	terpene	terpene	murayaquinone	10
fig|6666666.540621.peg.3102	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3103	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3104	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3105	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3106	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3107	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3108	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3109	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3110	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3111	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3112	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3113	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3114	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3115	45.1	Nocardiopsis sp. CC223A	siderophore	siderophore	ficellomycin	5
fig|6666666.540621.peg.3890	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3891	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3892	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3893	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3894	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3895	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3896	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3897	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3898	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3899	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3900	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3901	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3902	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3903	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3904	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3905	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3906	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3907	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3908	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3909	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3910	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3911	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3912	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3913	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3914	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3915	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3916	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3917	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3918	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3919	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3920	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3921	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3922	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3923	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3924	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3925	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3926	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3927	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3928	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3929	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3930	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3931	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3932	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3933	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
fig|6666666.540621.peg.3934	17.1	Nocardiopsis sp. CC223A	phosphonate	lassopeptide	rhizocticin A	16
