ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.737888.peg.874	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.875	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.876	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.877	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.878	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.879	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.880	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.881	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.882	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.883	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.884	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.885	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.886	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.887	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.888	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.889	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.890	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.891	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.892	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.893	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.894	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.895	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.896	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.rna.14	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.897	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.898	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.899	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.900	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.901	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.902	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.903	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.904	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.905	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.906	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.907	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.908	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.909	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.910	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.911	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.912	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.913	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.914	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.1134	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
fig|6666666.737888.peg.1135	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
fig|6666666.737888.peg.1136	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
fig|6666666.737888.peg.1137	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
fig|6666666.737888.peg.1138	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
fig|6666666.737888.peg.1139	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
