ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.540615.peg.800	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.801	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.802	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.803	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.804	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.805	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.806	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.807	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.808	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.809	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.810	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.811	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.812	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.813	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.814	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.815	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.816	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.817	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.818	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.819	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.820	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.821	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.822	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.823	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.824	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.825	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.826	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.827	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.828	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.829	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.830	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.831	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.832	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.833	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.834	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.835	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.836	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.837	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.838	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.839	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.840	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.841	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.892	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.893	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.894	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.895	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.896	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.897	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.898	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.899	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.900	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.901	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.902	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.903	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.1282	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1283	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1284	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1285	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1286	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1287	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1288	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1289	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1290	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1291	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1292	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1293	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1294	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1295	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1296	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1297	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
fig|6666666.540615.peg.1298	3.1	Nocardia sp. CC216A	arylpolyene	T3PKS		
