ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.687569.peg.3884	74.1	Streptomyces sp. CC228A	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.687569.peg.3885	74.1	Streptomyces sp. CC228A	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.687569.peg.3886	74.1	Streptomyces sp. CC228A	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.687569.peg.3887	74.1	Streptomyces sp. CC228A	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.687569.peg.5859	151.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.759	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.760	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.761	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.762	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.763	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.764	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.765	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.766	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.767	259.1	Streptomyces sp. CC228A	NRPS	NRPS	thiolutin	12
fig|6666666.687569.peg.1537	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1538	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1539	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1540	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1541	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1542	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1543	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.1544	297.1	Streptomyces sp. CC228A	PKS-like	PKS-like		
fig|6666666.687569.peg.2642	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2643	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2644	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2645	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2646	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2647	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2648	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2649	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.2650	338.1	Streptomyces sp. CC228A	butyrolactone	butyrolactone		
fig|6666666.687569.peg.1015	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1016	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1017	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1018	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1019	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1020	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1021	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.1022	543.1	Streptomyces sp. CC228A	terpene	terpene		
fig|6666666.687569.peg.351	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.352	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.353	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.354	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.355	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.356	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.357	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.358	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.359	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.360	573.1	Streptomyces sp. CC228A	terpene	terpene	hopene	15
fig|6666666.687569.peg.1082	622.1	Streptomyces sp. CC228A	NRPS	NRPS	ulleungmycin	5
fig|6666666.687569.peg.1083	622.1	Streptomyces sp. CC228A	NRPS	NRPS	ulleungmycin	5
fig|6666666.687569.peg.1084	622.1	Streptomyces sp. CC228A	NRPS	NRPS	ulleungmycin	5
fig|6666666.687569.peg.4971	650.1	Streptomyces sp. CC228A	melanin	melanin	melanin	28
fig|6666666.687569.peg.4972	650.1	Streptomyces sp. CC228A	melanin	melanin	melanin	28
fig|6666666.687569.peg.4973	650.1	Streptomyces sp. CC228A	melanin	melanin	melanin	28
fig|6666666.687569.peg.3671	798.1	Streptomyces sp. CC228A	terpene	terpene	2-methylisoborneol	100
fig|6666666.687569.peg.3672	798.1	Streptomyces sp. CC228A	terpene	terpene	2-methylisoborneol	100
fig|6666666.687569.peg.3673	798.1	Streptomyces sp. CC228A	terpene	terpene	2-methylisoborneol	100
fig|6666666.687569.peg.3674	798.1	Streptomyces sp. CC228A	terpene	terpene	2-methylisoborneol	100
fig|6666666.687569.peg.1370	816.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.1371	816.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.1372	816.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.1373	816.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.1374	816.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.2802	855.1	Streptomyces sp. CC228A	butyrolactone	ectoine	coelimycin P1	8
fig|6666666.687569.peg.2803	855.1	Streptomyces sp. CC228A	butyrolactone	ectoine	coelimycin P1	8
fig|6666666.687569.peg.2804	855.1	Streptomyces sp. CC228A	butyrolactone	ectoine	coelimycin P1	8
fig|6666666.687569.peg.2805	855.1	Streptomyces sp. CC228A	butyrolactone	ectoine	coelimycin P1	8
fig|6666666.687569.peg.2806	855.1	Streptomyces sp. CC228A	butyrolactone	ectoine	coelimycin P1	8
fig|6666666.687569.peg.2807	855.1	Streptomyces sp. CC228A	butyrolactone	ectoine	coelimycin P1	8
fig|6666666.687569.peg.2250	865.1	Streptomyces sp. CC228A	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.687569.peg.2251	865.1	Streptomyces sp. CC228A	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.687569.peg.2252	865.1	Streptomyces sp. CC228A	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.687569.peg.5365	901.1	Streptomyces sp. CC228A	terpene	terpene	carotenoid	18
fig|6666666.687569.peg.5366	901.1	Streptomyces sp. CC228A	terpene	terpene	carotenoid	18
fig|6666666.687569.peg.5699	945.1	Streptomyces sp. CC228A	NRPS-like	NRPS-like	glycinocin A	4
fig|6666666.687569.peg.5700	945.1	Streptomyces sp. CC228A	NRPS-like	NRPS-like	glycinocin A	4
fig|6666666.687569.peg.2992	1004.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.5213	1021.1	Streptomyces sp. CC228A	NRPS	NRPS		
fig|6666666.687569.peg.2299	1060.1	Streptomyces sp. CC228A	other	other		
fig|6666666.687569.peg.2300	1060.1	Streptomyces sp. CC228A	other	other		
fig|6666666.687569.peg.2301	1060.1	Streptomyces sp. CC228A	other	other		
fig|6666666.687569.peg.2192	1072.1	Streptomyces sp. CC228A	terpene	terpene	geosmin	100
fig|6666666.687569.peg.2193	1072.1	Streptomyces sp. CC228A	terpene	terpene	geosmin	100
fig|6666666.687569.peg.2194	1072.1	Streptomyces sp. CC228A	terpene	terpene	geosmin	100
fig|6666666.687569.peg.1118	1101.1	Streptomyces sp. CC228A	NRPS	NRPS	mirubactin	50
fig|6666666.687569.peg.1119	1101.1	Streptomyces sp. CC228A	NRPS	NRPS	mirubactin	50
fig|6666666.687569.peg.1120	1101.1	Streptomyces sp. CC228A	NRPS	NRPS	mirubactin	50
fig|6666666.687569.peg.1121	1101.1	Streptomyces sp. CC228A	NRPS	NRPS	mirubactin	50
fig|6666666.687569.peg.1122	1101.1	Streptomyces sp. CC228A	NRPS	NRPS	mirubactin	50
fig|6666666.687569.peg.1123	1101.1	Streptomyces sp. CC228A	NRPS	NRPS	mirubactin	50
