ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.590941.peg.6540	1.1	Streptomyces lentzea CC55	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6541	1.1	Streptomyces lentzea CC56	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6542	1.1	Streptomyces lentzea CC57	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6543	1.1	Streptomyces lentzea CC58	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6544	1.1	Streptomyces lentzea CC59	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6545	1.1	Streptomyces lentzea CC60	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6546	1.1	Streptomyces lentzea CC61	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6547	1.1	Streptomyces lentzea CC62	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6548	1.1	Streptomyces lentzea CC63	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6549	1.1	Streptomyces lentzea CC64	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6550	1.1	Streptomyces lentzea CC65	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6551	1.1	Streptomyces lentzea CC66	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6552	1.1	Streptomyces lentzea CC67	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6553	1.1	Streptomyces lentzea CC68	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6554	1.1	Streptomyces lentzea CC69	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6555	1.1	Streptomyces lentzea CC70	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6556	1.1	Streptomyces lentzea CC71	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6557	1.1	Streptomyces lentzea CC72	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6558	1.1	Streptomyces lentzea CC73	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6559	1.1	Streptomyces lentzea CC74	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6560	1.1	Streptomyces lentzea CC75	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6561	1.1	Streptomyces lentzea CC76	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6562	1.1	Streptomyces lentzea CC77	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6563	1.1	Streptomyces lentzea CC78	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6564	1.1	Streptomyces lentzea CC79	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6565	1.1	Streptomyces lentzea CC80	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6566	1.1	Streptomyces lentzea CC81	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6567	1.1	Streptomyces lentzea CC82	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6568	1.1	Streptomyces lentzea CC83	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6569	1.1	Streptomyces lentzea CC84	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6570	1.1	Streptomyces lentzea CC85	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6571	1.1	Streptomyces lentzea CC86	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6572	1.1	Streptomyces lentzea CC87	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6573	1.1	Streptomyces lentzea CC88	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6574	1.1	Streptomyces lentzea CC89	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6575	1.1	Streptomyces lentzea CC90	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6576	1.1	Streptomyces lentzea CC91	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6577	1.1	Streptomyces lentzea CC92	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6578	1.1	Streptomyces lentzea CC93	T1PKS	T1PKS	pimaricin	29
fig|6666666.590941.peg.6580	1.2	Streptomyces lentzea CC94	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6581	1.2	Streptomyces lentzea CC95	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6582	1.2	Streptomyces lentzea CC96	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6583	1.2	Streptomyces lentzea CC97	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6584	1.2	Streptomyces lentzea CC98	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6585	1.2	Streptomyces lentzea CC99	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6586	1.2	Streptomyces lentzea CC100	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6587	1.2	Streptomyces lentzea CC101	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6588	1.2	Streptomyces lentzea CC102	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6589	1.2	Streptomyces lentzea CC103	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6590	1.2	Streptomyces lentzea CC104	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6591	1.2	Streptomyces lentzea CC105	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6592	1.2	Streptomyces lentzea CC106	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6593	1.2	Streptomyces lentzea CC107	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6594	1.2	Streptomyces lentzea CC108	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6595	1.2	Streptomyces lentzea CC109	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
fig|6666666.590941.peg.6596	1.2	Streptomyces lentzea CC110	NRPS-like	NRPS-like	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	13
