Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig__autocolor	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|6666666.590938.peg.3693	Yes	Streptomyces_rochei_CC71	T3PKS	318	1	"flaviolin rhamnoside | 3,3'-diflaviolin | flaviolin | Polyketide:Type III + Saccharide:Oligosaccharide"	33
fig|6666666.590939.peg.2413	Yes	Streptomyces_rochei_CC48	T3PKS	219	1	"flaviolin rhamnoside | 3,3'-diflaviolin | flaviolin | Polyketide:Type III + Saccharide:Oligosaccharide"	33
fig|6666666.590940.peg.2280	Yes	Streptomyces_rochei_CC36	T3PKS	1	1	herboxidiene | Polyketide	8
BGC0000484_ADV57365	No						
BGC0000486_AAC69555	No						
BGC0000488_CAD97576	No						
BGC0000494_ABG48502	No						
BGC0000539_BAC98758	No						
BGC0000540_AFS60109	No						
BGC0000619_BAM09401	No						
BGC0000624_ABQ84447	No						
BGC0000974_CBD77761	No						
BGC0001388_ALX37942	No						
BGC0001559_AIR74922	No						
BGC0001602_BBE52943	No						
