ClusterBlast scores for contig_54

Table of genes, locations, strands and annotations of query cluster:
cds171364_171739	171364	171739	+	Efflux ABC transporter, ATP-binding protein	
cds171964_173398	171964	173398	+	Efflux ABC transporter, permease protein	
cds173429_173693	173429	173693	-	Integral membrane protein	
cds174205_175042	174205	175042	+	hypothetical protein	
cds175052_175928	175052	175928	+	hypothetical protein	
cds176016_176280	176016	176280	+	hypothetical protein	
cds176538_176847	176538	176847	+	hypothetical protein	
cds177033_177555	177033	177555	-	hypothetical protein	
cds177551_177977	177551	177977	-	Uncharacterized nucleoside diphosphate sugar transferase SCO3743	
cds178209_178971	178209	178971	-	Putative glycosyltransferase	
cds179062_180793	179062	180793	+	Two-component system sensor histidine kinase SCO3740	
cds180783_180999	180783	180999	+	Two-component system sensor histidine kinase SCO3740	
cds180979_182014	180979	182014	-	epimerase	
cds182477_182675	182477	182675	-	hypothetical protein	
cds183001_183619	183001	183619	+	Siderophore biosynthesis protein, monooxygenase	
cds183608_183833	183608	183833	+	Siderophore biosynthesis protein, monooxygenase	
cds184060_185008	184060	185008	+	ABC-type Fe3+-siderophore transport system, permease component	
cds185004_185181	185004	185181	+	ABC-type Fe3+-siderophore transport system, permease 2 component	
cds185231_186122	185231	186122	+	ABC-type Fe3+-siderophore transport system, permease 2 component	
cds186158_187088	186158	187088	+	ABC-type Fe3+-siderophore transport system, ATPase component	
cds187176_187524	187176	187524	+	ABC transporter, substrate-binding protein (cluster 8, B12/iron complex)	
cds187520_188021	187520	188021	+	ABC transporter, substrate-binding protein (cluster 8, B12/iron complex)	
cds188278_189406	188278	189406	+	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2	
cds189384_190614	189384	190614	+	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2	
cds190646_192698	190646	192698	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds192664_195802	192664	195802	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds195872_196319	195872	196319	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds196302_196698	196302	196698	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds196698_197247	196698	197247	-	hypothetical protein	
cds197288_197693	197288	197693	-	hypothetical protein	
cds197792_198074	197792	198074	-	hypothetical protein	
cds198075_198762	198075	198762	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds198824_199829	198824	199829	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds199789_200491	199789	200491	-	hypothetical protein	
cds200501_201116	200501	201116	+	Siderophore biosynthesis non-ribosomal peptide synthetase modules	
cds201121_202171	201121	202171	+	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1	
cds202631_203288	202631	203288	-	Putative esterase	
cds203379_203955	203379	203955	-	Putative esterase	
cds204109_204457	204109	204457	-	Transcriptional regulator, MarR family	
cds204895_205387	204895	205387	+	Enolase (EC 4.2.1.11)	
cds205552_205777	205552	205777	-	hypothetical protein	
cds205803_206001	205803	206001	+	Enolase (EC 4.2.1.11)	
cds206192_207305	206192	207305	-	putative secreted protein	
cds207301_207601	207301	207601	-	putative secreted protein	
cds207602_208382	207602	208382	-	putative secreted protein	
cds208646_210095	208646	210095	+	putative secreted protein	
cds210105_210465	210105	210465	+	putative secreted protein	
cds210534_211080	210534	211080	-	Secreted protein	
cds211097_211274	211097	211274	+	hypothetical protein	
cds211277_211778	211277	211778	+	hypothetical protein	
cds211762_212215	211762	212215	+	hypothetical protein	
cds212211_212856	212211	212856	+	hypothetical protein	
cds212864_213143	212864	213143	+	hypothetical protein	
cds213222_213774	213222	213774	+	Transcriptional regulator, AfsR family	
cds214406_214613	214406	214613	-	hypothetical protein	
cds214666_215854	214666	215854	-	hypothetical protein	
cds215850_216066	215850	216066	-	FIG01132183: hypothetical protein	
cds216127_216967	216127	216967	-	Substrate-specific component CbrT of predicted cobalamin ECF transporter	
cds217049_217232	217049	217232	-	Substrate-specific component CbrT of predicted cobalamin ECF transporter	
cds217228_217954	217228	217954	-	Duplicated ATPase component CbrU of energizing module of predicted cobalamin ECF transporter	
cds217953_220110	217953	220110	-	Duplicated ATPase component CbrU of energizing module of predicted cobalamin ECF transporter	
cds220279_221020	220279	221020	-	hypothetical protein	
cds221041_222457	221041	222457	-	hypothetical protein	
cds222714_223824	222714	223824	-	hypothetical protein	
cds224397_224976	224397	224976	+	hypothetical protein	
cds225117_225858	225117	225858	+	hypothetical protein	
cds225883_226669	225883	226669	-	Transcriptional regulator, Xre family	
cds226805_227585	226805	227585	+	hypothetical protein	
cds227742_229110	227742	229110	+	Isocitrate lyase (EC 4.1.3.1)	
cds229106_229418	229106	229418	+	Malate synthase (EC 2.3.3.9)	
cds229408_230695	229408	230695	+	Malate synthase (EC 2.3.3.9)	
