ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.540620.peg.3577	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.3578	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.3579	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.3580	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.3581	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.3582	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.3583	89.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	25
fig|6666666.540620.peg.2647	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2648	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2649	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2650	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2651	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2652	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2653	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2654	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2655	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2656	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2657	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2658	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2659	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2660	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2661	91.1	Streptomyces sp. CC226D	terpene	terpene	isorenieratene	87
fig|6666666.540620.peg.2114	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2115	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2116	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2117	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2118	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2119	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2120	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2121	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2122	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2123	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2124	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2125	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2126	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2127	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.2128	135.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	AmfS	100
fig|6666666.540620.peg.3799	150.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	7
fig|6666666.540620.peg.3800	150.1	Streptomyces sp. CC226D	NRPS	NRPS	actinomycin D	7
fig|6666666.540620.peg.1717	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1718	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1719	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1720	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1721	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1722	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1723	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1724	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1725	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1726	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.1727	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.3283	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3284	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3285	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3286	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3287	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3288	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3289	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3290	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.3291	197.1	Streptomyces sp. CC226D	NRPS-like	NRPS-like		
fig|6666666.540620.peg.1038	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1039	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1040	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1041	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1042	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1043	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1044	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1045	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1046	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1047	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1048	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1049	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1050	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1051	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1052	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1053	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1054	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1055	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1056	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1057	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1058	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1059	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1060	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1061	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.1062	204.1	Streptomyces sp. CC226D	other	other	actinomycin D	71
fig|6666666.540620.peg.2039	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2040	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2041	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2042	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2043	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2044	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2045	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2046	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2047	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2048	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2049	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2050	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2051	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2052	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2053	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2054	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2055	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2056	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2057	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2058	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2059	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2060	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2061	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2062	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2063	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2064	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.peg.2065	206.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540620.rna.16	99.1	Streptomyces sp. CC226D	NRPS	siderophore	ficellomycin	3
fig|6666666.540620.peg.1318	99.1	Streptomyces sp. CC226D	NRPS	siderophore	ficellomycin	3
fig|6666666.540620.peg.1319	99.1	Streptomyces sp. CC226D	NRPS	siderophore	ficellomycin	3
fig|6666666.540620.peg.1320	99.1	Streptomyces sp. CC226D	NRPS	siderophore	ficellomycin	3
fig|6666666.540620.peg.1321	99.1	Streptomyces sp. CC226D	NRPS	siderophore	ficellomycin	3
