ID	gene	organism	Region	Cluster	Position	Strand	Type	Class1	Class2	Class3	Product	File
fig|1823.7.peg.1236	cds0_15069	Nocardia otitidiscaviarum sp. CC201C	725.1	1	1..15069	+	NRPS	NRP				c00725_C1_CC20..
fig|1823.7.peg.1434	cds120_1665	Nocardia otitidiscaviarum sp. CC201C	203.1	1	121..1665	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1435	cds1684_6967	Nocardia otitidiscaviarum sp. CC201C	203.1	1	1685..6967	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1436	cds7066_8989	Nocardia otitidiscaviarum sp. CC201C	203.1	1	7067..8989	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1437	cds9213_10233	Nocardia otitidiscaviarum sp. CC201C	203.1	1	9214..10233	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1438	cds10407_11382	Nocardia otitidiscaviarum sp. CC201C	203.1	1	10408..11382	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1439	cds11378_11909	Nocardia otitidiscaviarum sp. CC201C	203.1	1	11379..11909	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1440	cds12130_14485	Nocardia otitidiscaviarum sp. CC201C	203.1	1	12131..14485	-	T1PKS	Polyketide				c00203_C1_CC20..
fig|1823.7.peg.1789	cds2_11831	Nocardia otitidiscaviarum sp. CC201C	120.1	1	3..11831	-	NRPS	NRP				c00120_C1_CC20..
fig|1823.7.peg.1790	cds12123_12882	Nocardia otitidiscaviarum sp. CC201C	120.1	1	12124..12882	-	NRPS	NRP				c00120_C1_CC20..
fig|1823.7.peg.1791	cds12967_13393	Nocardia otitidiscaviarum sp. CC201C	120.1	1	12968..13393	-	NRPS	NRP				c00120_C1_CC20..
fig|1823.7.peg.1792	cds13493_13727	Nocardia otitidiscaviarum sp. CC201C	120.1	1	13494..13727	+	NRPS	NRP				c00120_C1_CC20..
fig|1823.7.peg.214	cds0_2226	Nocardia otitidiscaviarum sp. CC201C	121.1	1	1..2226	+	NRPS	NRP				c00121_C1_CC20..
fig|1823.7.peg.215	cds2222_3068	Nocardia otitidiscaviarum sp. CC201C	121.1	1	2223..3068	+	NRPS	NRP				c00121_C1_CC20..
fig|1823.7.peg.216	cds3054_13326	Nocardia otitidiscaviarum sp. CC201C	121.1	1	3055..13326	+	NRPS	NRP				c00121_C1_CC20..
fig|1823.7.peg.217	cds13322_18596	Nocardia otitidiscaviarum sp. CC201C	121.1	1	13323..18596	+	NRPS	NRP				c00121_C1_CC20..
fig|1823.7.peg.2363	cds1_994	Nocardia otitidiscaviarum sp. CC201C	56.1	1	2..994	-	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2364	cds1096_2020	Nocardia otitidiscaviarum sp. CC201C	56.1	1	1097..2020	+	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2365	cds2082_2652	Nocardia otitidiscaviarum sp. CC201C	56.1	1	2083..2652	+	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2366	cds2648_3827	Nocardia otitidiscaviarum sp. CC201C	56.1	1	2649..3827	+	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2367	cds3933_4353	Nocardia otitidiscaviarum sp. CC201C	56.1	1	3934..4353	+	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2368	cds4365_5643	Nocardia otitidiscaviarum sp. CC201C	56.1	1	4366..5643	+	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2369	cds5758_6523	Nocardia otitidiscaviarum sp. CC201C	56.1	1	5759..6523	-	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2370	cds6649_7690	Nocardia otitidiscaviarum sp. CC201C	56.1	1	6650..7690	-	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2371	cds7686_8157	Nocardia otitidiscaviarum sp. CC201C	56.1	1	7687..8157	-	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2372	cds8920_9064	Nocardia otitidiscaviarum sp. CC201C	56.1	1	8921..9064	-	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2373	cds9266_10727	Nocardia otitidiscaviarum sp. CC201C	56.1	1	9267..10727	+	terpene	Terpene				c00056_C1_CC20..
fig|1823.7.peg.2507	cds2_248	Nocardia otitidiscaviarum sp. CC201C	571.1	1	3..248	-	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2508	cds537_1536	Nocardia otitidiscaviarum sp. CC201C	571.1	1	538..1536	+	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2509	cds1678_2611	Nocardia otitidiscaviarum sp. CC201C	571.1	1	1679..2611	+	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2510	cds2690_2792	Nocardia otitidiscaviarum sp. CC201C	571.1	1	2691..2792	-	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2511	cds2803_2923	Nocardia otitidiscaviarum sp. CC201C	571.1	1	2804..2923	-	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2512	cds2960_3053	Nocardia otitidiscaviarum sp. CC201C	571.1	1	2961..3053	-	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2513	cds3114_3330	Nocardia otitidiscaviarum sp. CC201C	571.1	1	3115..3330	-	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2514	cds3412_12040	Nocardia otitidiscaviarum sp. CC201C	571.1	1	3413..12040	-	NRPS	NRP			teleocidin B1	c00571_C1_CC20..
fig|1823.7.peg.2903	cds0_318	Nocardia otitidiscaviarum sp. CC201C	405.1	1	1..318	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2904	cds342_792	Nocardia otitidiscaviarum sp. CC201C	405.1	1	343..792	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2905	cds877_1978	Nocardia otitidiscaviarum sp. CC201C	405.1	1	878..1978	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2906	cds2311_5782	Nocardia otitidiscaviarum sp. CC201C	405.1	1	2312..5782	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2907	cds5770_6634	Nocardia otitidiscaviarum sp. CC201C	405.1	1	5771..6634	-	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2908	cds6630_7152	Nocardia otitidiscaviarum sp. CC201C	405.1	1	6631..7152	-	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2909	cds7132_7351	Nocardia otitidiscaviarum sp. CC201C	405.1	1	7133..7351	-	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2910	cds7684_8185	Nocardia otitidiscaviarum sp. CC201C	405.1	1	7685..8185	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2911	cds8265_8382	Nocardia otitidiscaviarum sp. CC201C	405.1	1	8266..8382	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2912	cds8445_9720	Nocardia otitidiscaviarum sp. CC201C	405.1	1	8446..9720	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2913	cds10028_10142	Nocardia otitidiscaviarum sp. CC201C	405.1	1	10029..10142	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.2914	cds10295_10610	Nocardia otitidiscaviarum sp. CC201C	405.1	1	10296..10610	+	NRPS-like	NRP				c00405_C1_CC20..
fig|1823.7.peg.3199	cds1_832	Nocardia otitidiscaviarum sp. CC201C	448.1	1	2..832	+	T1PKS	Polyketide				c00448_C1_CC20..
fig|1823.7.peg.3200	cds838_2206	Nocardia otitidiscaviarum sp. CC201C	448.1	1	839..2206	-	T1PKS	Polyketide				c00448_C1_CC20..
fig|1823.7.peg.3201	cds2202_8544	Nocardia otitidiscaviarum sp. CC201C	448.1	1	2203..8544	-	T1PKS	Polyketide				c00448_C1_CC20..
fig|1823.7.peg.3202	cds8600_9230	Nocardia otitidiscaviarum sp. CC201C	448.1	1	8601..9230	-	T1PKS	Polyketide				c00448_C1_CC20..
fig|1823.7.peg.3203	cds9573_9873	Nocardia otitidiscaviarum sp. CC201C	448.1	1	9574..9873	+	T1PKS	Polyketide				c00448_C1_CC20..
fig|1823.7.peg.3336	cds1_214	Nocardia otitidiscaviarum sp. CC201C	557.1	1	2..214	-	NRPS	NRP				c00557_C1_CC20..
fig|1823.7.peg.3337	cds311_9626	Nocardia otitidiscaviarum sp. CC201C	557.1	1	312..9626	-	NRPS	NRP				c00557_C1_CC20..
fig|1823.7.peg.3656	cds2_242	Nocardia otitidiscaviarum sp. CC201C	401.1	1	3..242	-	NRPS	NRP				c00401_C1_CC20..
fig|1823.7.peg.3657	cds347_9068	Nocardia otitidiscaviarum sp. CC201C	401.1	1	348..9068	-	NRPS	NRP				c00401_C1_CC20..
fig|1823.7.peg.3905	cds0_1125	Nocardia otitidiscaviarum sp. CC201C	642.1	1	1..1125	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3906	cds1181_1424	Nocardia otitidiscaviarum sp. CC201C	642.1	1	1182..1424	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3907	cds1420_1519	Nocardia otitidiscaviarum sp. CC201C	642.1	1	1421..1519	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3908	cds1519_1855	Nocardia otitidiscaviarum sp. CC201C	642.1	1	1520..1855	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3909	cds1908_2442	Nocardia otitidiscaviarum sp. CC201C	642.1	1	1909..2442	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3910	cds2586_3675	Nocardia otitidiscaviarum sp. CC201C	642.1	1	2587..3675	-	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3911	cds3943_4090	Nocardia otitidiscaviarum sp. CC201C	642.1	1	3944..4090	-	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3912	cds4145_5033	Nocardia otitidiscaviarum sp. CC201C	642.1	1	4146..5033	-	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3913	cds5185_5350	Nocardia otitidiscaviarum sp. CC201C	642.1	1	5186..5350	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3914	cds5343_6003	Nocardia otitidiscaviarum sp. CC201C	642.1	1	5344..6003	+	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.3915	cds6063_8508	Nocardia otitidiscaviarum sp. CC201C	642.1	1	6064..8508	-	NRPS-like	NRP				c00642_C1_CC20..
fig|1823.7.peg.4002	cds0_1128	Nocardia otitidiscaviarum sp. CC201C	425.1	1	1..1128	-	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4003	cds1163_2369	Nocardia otitidiscaviarum sp. CC201C	425.1	1	1164..2369	-	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4004	cds2452_3913	Nocardia otitidiscaviarum sp. CC201C	425.1	1	2453..3913	-	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4005	cds4226_5054	Nocardia otitidiscaviarum sp. CC201C	425.1	1	4227..5054	-	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4006	cds5346_6057	Nocardia otitidiscaviarum sp. CC201C	425.1	1	5347..6057	-	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4007	cds6159_6531	Nocardia otitidiscaviarum sp. CC201C	425.1	1	6160..6531	-	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4008	cds6579_6693	Nocardia otitidiscaviarum sp. CC201C	425.1	1	6580..6693	+	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4009	cds7074_7614	Nocardia otitidiscaviarum sp. CC201C	425.1	1	7075..7614	+	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4010	cds7683_7878	Nocardia otitidiscaviarum sp. CC201C	425.1	1	7684..7878	+	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4011	cds7994_8369	Nocardia otitidiscaviarum sp. CC201C	425.1	1	7995..8369	+	T3PKS	Polyketide				c00425_C1_CC20..
fig|1823.7.peg.4098	cds1_1417	Nocardia otitidiscaviarum sp. CC201C	191.1	1	2..1417	-	NRPS	NRP				c00191_C1_CC20..
fig|1823.7.peg.4099	cds1652_3218	Nocardia otitidiscaviarum sp. CC201C	191.1	1	1653..3218	-	NRPS	NRP				c00191_C1_CC20..
fig|1823.7.peg.4100	cds3242_3989	Nocardia otitidiscaviarum sp. CC201C	191.1	1	3243..3989	-	NRPS	NRP				c00191_C1_CC20..
fig|1823.7.peg.4101	cds3985_4648	Nocardia otitidiscaviarum sp. CC201C	191.1	1	3986..4648	-	NRPS	NRP				c00191_C1_CC20..
fig|1823.7.peg.4102	cds4773_5412	Nocardia otitidiscaviarum sp. CC201C	191.1	1	4774..5412	-	NRPS	NRP				c00191_C1_CC20..
fig|1823.7.peg.4103	cds5879_8195	Nocardia otitidiscaviarum sp. CC201C	191.1	1	5880..8195	-	NRPS	NRP				c00191_C1_CC20..
fig|1823.7.peg.411	cds0_18054	Nocardia otitidiscaviarum sp. CC201C	652.1	1	1..18054	+	NRPS	NRP				c00652_C1_CC20..
fig|1823.7.peg.4165	cds2_5384	Nocardia otitidiscaviarum sp. CC201C	218.1	1	3..5384	+	NRPS	NRP				c00218_C1_CC20..
fig|1823.7.peg.4166	cds5499_6612	Nocardia otitidiscaviarum sp. CC201C	218.1	1	5500..6612	+	NRPS	NRP				c00218_C1_CC20..
fig|1823.7.peg.4167	cds6785_8024	Nocardia otitidiscaviarum sp. CC201C	218.1	1	6786..8024	+	NRPS	NRP				c00218_C1_CC20..
fig|1823.7.peg.4212	cds0_678	Nocardia otitidiscaviarum sp. CC201C	32.1	1	1..678	-	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4213	cds1682_2345	Nocardia otitidiscaviarum sp. CC201C	32.1	1	1683..2345	-	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4214	cds2341_4171	Nocardia otitidiscaviarum sp. CC201C	32.1	1	2342..4171	-	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4215	cds4368_4680	Nocardia otitidiscaviarum sp. CC201C	32.1	1	4369..4680	-	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4216	cds4895_6050	Nocardia otitidiscaviarum sp. CC201C	32.1	1	4896..6050	-	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4217	cds6096_7365	Nocardia otitidiscaviarum sp. CC201C	32.1	1	6097..7365	-	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4218	cds7580_7943	Nocardia otitidiscaviarum sp. CC201C	32.1	1	7581..7943	+	butyrolactone terpene	Terpene	Other			c00032_C1_CC20..
fig|1823.7.peg.4269	cds48_1434	Nocardia otitidiscaviarum sp. CC201C	159.1	1	49..1434	-	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4270	cds1534_2503	Nocardia otitidiscaviarum sp. CC201C	159.1	1	1535..2503	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4271	cds2517_3240	Nocardia otitidiscaviarum sp. CC201C	159.1	1	2518..3240	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4272	cds3317_3680	Nocardia otitidiscaviarum sp. CC201C	159.1	1	3318..3680	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4273	cds4073_4346	Nocardia otitidiscaviarum sp. CC201C	159.1	1	4074..4346	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4274	cds4577_5525	Nocardia otitidiscaviarum sp. CC201C	159.1	1	4578..5525	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4275	cds5521_6568	Nocardia otitidiscaviarum sp. CC201C	159.1	1	5522..6568	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4276	cds6714_7107	Nocardia otitidiscaviarum sp. CC201C	159.1	1	6715..7107	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4277	cds7103_7520	Nocardia otitidiscaviarum sp. CC201C	159.1	1	7104..7520	+	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4278	cds7615_7864	Nocardia otitidiscaviarum sp. CC201C	159.1	1	7616..7864	-	terpene	Terpene				c00159_C1_CC20..
fig|1823.7.peg.4624	cds4522_5434	Nocardia otitidiscaviarum sp. CC201C	665.1	1	254..1165	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4625	cds5443_6628	Nocardia otitidiscaviarum sp. CC201C	665.1	1	1175..2359	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4626	cds6858_7116	Nocardia otitidiscaviarum sp. CC201C	665.1	1	2590..2847	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4627	cds7571_8177	Nocardia otitidiscaviarum sp. CC201C	665.1	1	3303..3908	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4628	cds8180_8588	Nocardia otitidiscaviarum sp. CC201C	665.1	1	3912..4319	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4629	cds8673_9063	Nocardia otitidiscaviarum sp. CC201C	665.1	1	4405..4794	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4630	cds9085_12346	Nocardia otitidiscaviarum sp. CC201C	665.1	1	4817..8077	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4631	cds12768_13098	Nocardia otitidiscaviarum sp. CC201C	665.1	1	8500..8829	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4632	cds13414_14068	Nocardia otitidiscaviarum sp. CC201C	665.1	1	9146..9799	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4633	cds14323_15175	Nocardia otitidiscaviarum sp. CC201C	665.1	1	10055..10906	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4634	cds15277_16111	Nocardia otitidiscaviarum sp. CC201C	665.1	1	11009..11842	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4635	cds16239_17310	Nocardia otitidiscaviarum sp. CC201C	665.1	1	11971..13041	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4636	cds17460_17850	Nocardia otitidiscaviarum sp. CC201C	665.1	1	13192..13581	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4637	cds18077_21137	Nocardia otitidiscaviarum sp. CC201C	665.1	1	13809..16868	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4638	cds21247_22081	Nocardia otitidiscaviarum sp. CC201C	665.1	1	16979..17812	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4639	cds22270_24001	Nocardia otitidiscaviarum sp. CC201C	665.1	1	18002..19732	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4640	cds24269_25460	Nocardia otitidiscaviarum sp. CC201C	665.1	1	20001..21191	-	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4641	cds25651_26992	Nocardia otitidiscaviarum sp. CC201C	665.1	1	21383..22723	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4642	cds27001_27346	Nocardia otitidiscaviarum sp. CC201C	665.1	1	22733..23077	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4643	cds27434_28547	Nocardia otitidiscaviarum sp. CC201C	665.1	1	23166..24278	+	arylpolyene	Polyketide				c00665_C1_CC20..
fig|1823.7.peg.4677	cds2_512	Nocardia otitidiscaviarum sp. CC201C	227.1	1	3..512	-	NRPS	NRP			nataxazole	c00227_C1_CC20..
fig|1823.7.peg.4678	cds508_2206	Nocardia otitidiscaviarum sp. CC201C	227.1	1	509..2206	-	NRPS	NRP			nataxazole	c00227_C1_CC20..
fig|1823.7.peg.4679	cds2193_2316	Nocardia otitidiscaviarum sp. CC201C	227.1	1	2194..2316	-	NRPS	NRP			nataxazole	c00227_C1_CC20..
fig|1823.7.peg.4680	cds2369_6983	Nocardia otitidiscaviarum sp. CC201C	227.1	1	2370..6983	+	NRPS	NRP			nataxazole	c00227_C1_CC20..
fig|1823.7.peg.5007	cds0_369	Nocardia otitidiscaviarum sp. CC201C	595.1	1	1..369	-	NRPS	NRP				c00595_C1_CC20..
fig|1823.7.peg.5008	cds691_1135	Nocardia otitidiscaviarum sp. CC201C	595.1	1	692..1135	-	NRPS	NRP				c00595_C1_CC20..
fig|1823.7.peg.5009	cds1315_2185	Nocardia otitidiscaviarum sp. CC201C	595.1	1	1316..2185	+	NRPS	NRP				c00595_C1_CC20..
fig|1823.7.peg.5010	cds2207_2351	Nocardia otitidiscaviarum sp. CC201C	595.1	1	2208..2351	-	NRPS	NRP				c00595_C1_CC20..
fig|1823.7.peg.5011	cds2349_2814	Nocardia otitidiscaviarum sp. CC201C	595.1	1	2350..2814	+	NRPS	NRP				c00595_C1_CC20..
fig|1823.7.peg.5012	cds2863_6505	Nocardia otitidiscaviarum sp. CC201C	595.1	1	2864..6505	+	NRPS	NRP				c00595_C1_CC20..
fig|1823.7.peg.5013	cds2_6482	Nocardia otitidiscaviarum sp. CC201C	65.1	1	3..6482	+	NRPS	NRP				c00065_C1_CC20..
fig|1823.7.peg.5067	cds113_302	Nocardia otitidiscaviarum sp. CC201C	501.1	1	114..302	-	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5068	cds338_1169	Nocardia otitidiscaviarum sp. CC201C	501.1	1	339..1169	+	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5069	cds1431_2487	Nocardia otitidiscaviarum sp. CC201C	501.1	1	1432..2487	-	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5070	cds2539_3166	Nocardia otitidiscaviarum sp. CC201C	501.1	1	2540..3166	-	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5071	cds3362_4763	Nocardia otitidiscaviarum sp. CC201C	501.1	1	3363..4763	+	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5072	cds4951_6319	Nocardia otitidiscaviarum sp. CC201C	501.1	1	4952..6319	+	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5073	cds6858_25461	Nocardia otitidiscaviarum sp. CC201C	501.1	1	6859..25461	+	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5074	cds25460_28055	Nocardia otitidiscaviarum sp. CC201C	501.1	1	25461..28055	+	NRPS	NRP			telomycin	c00501_C1_CC20..
fig|1823.7.peg.5082	cds2_6347	Nocardia otitidiscaviarum sp. CC201C	601.1	1	3..6347	-	NRPS	NRP				c00601_C1_CC20..
fig|1823.7.peg.527	cds12469_13543	Nocardia otitidiscaviarum sp. CC201C	149.1	1	451..1524	-	prodigiosin	Polyketide			undecylprodigiosin	c00149_C1_CC20..
fig|1823.7.peg.528	cds13539_14817	Nocardia otitidiscaviarum sp. CC201C	149.1	1	1521..2798	-	prodigiosin	Polyketide			undecylprodigiosin	c00149_C1_CC20..
