ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.590940.peg.3129	2.1	Streptomyces rochei CC36	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3130	2.1	Streptomyces rochei CC37	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3131	2.1	Streptomyces rochei CC38	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3132	2.1	Streptomyces rochei CC39	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3133	2.1	Streptomyces rochei CC40	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3134	2.1	Streptomyces rochei CC41	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3135	2.1	Streptomyces rochei CC42	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3136	2.1	Streptomyces rochei CC43	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3137	2.1	Streptomyces rochei CC44	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3138	2.1	Streptomyces rochei CC45	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3139	2.1	Streptomyces rochei CC46	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3140	2.1	Streptomyces rochei CC47	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3141	2.1	Streptomyces rochei CC48	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3142	2.1	Streptomyces rochei CC49	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3143	2.1	Streptomyces rochei CC50	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3144	2.1	Streptomyces rochei CC51	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3145	2.1	Streptomyces rochei CC52	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3146	2.1	Streptomyces rochei CC53	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3147	2.1	Streptomyces rochei CC54	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3148	2.1	Streptomyces rochei CC55	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3184	2.2	Streptomyces rochei CC56	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3185	2.2	Streptomyces rochei CC57	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3186	2.2	Streptomyces rochei CC58	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3187	2.2	Streptomyces rochei CC59	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3188	2.2	Streptomyces rochei CC60	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3189	2.2	Streptomyces rochei CC61	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3190	2.2	Streptomyces rochei CC62	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3191	2.2	Streptomyces rochei CC63	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3192	2.2	Streptomyces rochei CC64	T2PKS	T2PKS	spore pigment	66
