ID	Clusteric	Organism	Product	Type
fig|6666666.540612.peg.5203	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Extraclusteric	Streptomyces sp. CC228A		
BGC0000105	Intraclusteric	Streptomyces nanchangensis	nanchangmycin	Polyketide
BGC0000206	Intraclusteric	Streptomyces chartreusis	chartreusin	Polyketide
BGC0000020	Intraclusteric	Actinosynnema pretiosum subsp. auranticum	ansamitocin	Polyketide
BGC0001511	Intraclusteric	Actinosynnema pretiosum subsp. pretiosum	ansamitocin P-3	Polyketide
BGC0000105	Intraclusteric	Streptomyces nanchangensis	nanchangmycin	Polyketide
BGC0001288	Intraclusteric	Micromonospora sp. GMKU326	maklamicin	Polyketide
BGC0001439	Intraclusteric	Streptomyces sp. CS113	cervimycin	Polyketide-Saccharide
BGC0000194	Intraclusteric	Streptomyces coelicolor A3(2)	actinorhodin	Polyketide
BGC0001433	Intraclusteric	Streptomyces argillaceus	argimycin P	Polyketide
BGC0000038	Intraclusteric	Streptomyces coelicolor A3(2)	coelimycin	Polyketide
BGC0000952	Intraclusteric	Streptomyces pristinaespiralis	pristinamycin	NRP-Polyketide
BGC0001513	Intraclusteric	Actinobacteria bacterium	anthrabenzoxocinone	Polyketide
BGC0000378	Intraclusteric	Kutzneria sp. 744	kutznerides	NRP
BGC0000038	Intraclusteric	Streptomyces coelicolor A3(2)	coelimycin	Polyketide
BGC0000222	Intraclusteric	Streptomyces sp. TA-0256	FD-594	Polyketide
BGC0001083	Intraclusteric	Streptomyces sp. CNH189	merochlorin	Polyketide-Terpene
BGC0000193	Intraclusteric	Streptomyces galilaeus	aclacinomycin	Polyketide
BGC0001376	Intraclusteric	Streptosporangium sp. FXJ7.131	hexaricin A-hexaricin B-hexaricin C	Polyketide
BGC0000459	Intraclusteric	Streptomyces griseoviridis	griseoviridin-viridogrisein	NRP-Polyketide
BGC0000220	Intraclusteric	Streptomyces maritimus	enterocin	Polyketide
BGC0000164	Intraclusteric	Streptomyces sp. NRRL 11266	tetronomycin	Polyketide
BGC0000141	Intraclusteric	Streptomyces achromogenes subsp. rubradiris	rubradirin	Polyketide
BGC0000212	Intraclusteric	Streptomyces sp. SPB74	cinerubin B	Polyketide
