ID	gene	organism	Region	Cluster	Position	Strand	Type	Class1	Class2	Class3	Product	File
fig|6666666.867955.peg.1331	cds1447577_1448144	Brevibacterium sp.	1.3	3	590..1156	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1332	cds1448143_1449244	Brevibacterium sp.	1.3	3	1156..2256	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1333	cds1449361_1449814	Brevibacterium sp.	1.3	3	2374..2826	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1334	cds1449910_1450450	Brevibacterium sp.	1.3	3	2923..3462	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1335	cds1450455_1451343	Brevibacterium sp.	1.3	3	3468..4355	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1336	cds1451415_1451646	Brevibacterium sp.	1.3	3	4428..4658	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1337	cds1451666_1451780	Brevibacterium sp.	1.3	3	4679..4792	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1338	cds1451783_1453136	Brevibacterium sp.	1.3	3	4796..6148	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1339	cds1453215_1455639	Brevibacterium sp.	1.3	3	6228..8651	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1340	cds1455807_1455966	Brevibacterium sp.	1.3	3	8820..8978	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1341	cds1456233_1456566	Brevibacterium sp.	1.3	3	9246..9578	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1342	cds1456988_1458071	Brevibacterium sp.	1.3	3	10001..11083	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1343	cds1458067_1459810	Brevibacterium sp.	1.3	3	11080..12822	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1344	cds1459925_1461608	Brevibacterium sp.	1.3	3	12938..14620	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1345	cds1461604_1462006	Brevibacterium sp.	1.3	3	14617..15018	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1346	cds1462002_1462416	Brevibacterium sp.	1.3	3	15015..15428	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1347	cds1462412_1463777	Brevibacterium sp.	1.3	3	15425..16789	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1348	cds1463773_1464829	Brevibacterium sp.	1.3	3	16786..17841	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1349	cds1464933_1465521	Brevibacterium sp.	1.3	3	17946..18533	+	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1350	cds1465581_1466475	Brevibacterium sp.	1.3	3	18594..19487	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1351	cds1466522_1467392	Brevibacterium sp.	1.3	3	19535..20404	-	terpene	Terpene			carotenoid	1
fig|6666666.867955.peg.1432	cds1560109_1561768	Brevibacterium sp.	1.4	4	1901..3559	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1433	cds1561764_1563213	Brevibacterium sp.	1.4	4	3556..5004	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1434	cds1563209_1565687	Brevibacterium sp.	1.4	4	5001..7478	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1435	cds1565838_1566924	Brevibacterium sp.	1.4	4	7630..8715	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1436	cds1567035_1568130	Brevibacterium sp.	1.4	4	8827..9921	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1437	cds1568201_1569026	Brevibacterium sp.	1.4	4	9993..10817	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1438	cds1569022_1570234	Brevibacterium sp.	1.4	4	10814..12025	+	siderophore	Other			desferrioxamine E	1
fig|6666666.867955.peg.1954	cds2141910_2142780	Brevibacterium sp.	1.5	5	647..1516	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1955	cds2142797_2143754	Brevibacterium sp.	1.5	5	1534..2490	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1956	cds2143753_2144404	Brevibacterium sp.	1.5	5	2490..3140	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1957	cds2144447_2145308	Brevibacterium sp.	1.5	5	3184..4044	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1958	cds2145304_2146420	Brevibacterium sp.	1.5	5	4041..5156	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1959	cds2146416_2147076	Brevibacterium sp.	1.5	5	5153..5812	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1960	cds2147072_2148584	Brevibacterium sp.	1.5	5	5809..7320	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1961	cds2148584_2149982	Brevibacterium sp.	1.5	5	7321..8718	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1962	cds2150086_2150713	Brevibacterium sp.	1.5	5	8823..9449	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1963	cds2150729_2151434	Brevibacterium sp.	1.5	5	9466..10170	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1964	cds2151433_2152207	Brevibacterium sp.	1.5	5	10170..10943	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1965	cds2152203_2153244	Brevibacterium sp.	1.5	5	10940..11980	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1966	cds2153240_2154107	Brevibacterium sp.	1.5	5	11977..12843	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1967	cds2154231_2155446	Brevibacterium sp.	1.5	5	12968..14182	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1968	cds2155745_2156489	Brevibacterium sp.	1.5	5	14482..15225	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1969	cds2156540_2157740	Brevibacterium sp.	1.5	5	15277..16476	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1970	cds2157792_2159109	Brevibacterium sp.	1.5	5	16529..17845	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1971	cds2159105_2159885	Brevibacterium sp.	1.5	5	17842..18621	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1972	cds2159967_2161272	Brevibacterium sp.	1.5	5	18704..20008	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1973	cds2161264_2165392	Brevibacterium sp.	1.5	5	20001..24128	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1974	cds2165557_2166772	Brevibacterium sp.	1.5	5	24294..25508	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1975	cds2166841_2167354	Brevibacterium sp.	1.5	5	25578..26090	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1976	cds2167421_2168864	Brevibacterium sp.	1.5	5	26158..27600	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1977	cds2169199_2170675	Brevibacterium sp.	1.5	5	27936..29411	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1978	cds2170697_2171942	Brevibacterium sp.	1.5	5	29434..30678	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1979	cds2172646_2173051	Brevibacterium sp.	1.5	5	31383..31787	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1980	cds2173050_2174091	Brevibacterium sp.	1.5	5	31787..32827	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1981	cds2174101_2174587	Brevibacterium sp.	1.5	5	32838..33323	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1982	cds2174617_2176012	Brevibacterium sp.	1.5	5	33354..34748	+	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1983	cds2176099_2178184	Brevibacterium sp.	1.5	5	34836..36920	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1984	cds2178180_2179368	Brevibacterium sp.	1.5	5	36917..38104	-	NRPS-like	NRP			ulleungmycin	1
fig|6666666.867955.peg.1985	cds2179496_2179850	Brevibacterium sp.	1.5	5	38233..38586	+	NRPS-like	NRP			ulleungmycin	1
