ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.540754.peg.7123	CuatroCienegas	48.1	Streptomyces sp. CC224E	PKS-like	T2PKS	cosmomycin D	12
fig|6666666.737888.peg.1908	CuatroCienegas	95.1	Streptomyces sp. CC219B	T1PKS	butyrolactone	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	63
fig|6666666.540612.peg.1007	CuatroCienegas	157.1	Streptomyces sp. CC210A	NRPS	NRPS	thiolutin	24
fig|6666666.590941.peg.276	CuatroCienegas	32.1	Streptomyces lentzea CC1011	NRPS	T1PKS	butyrolactol A	66
fig|6666666.737888.peg.1925	CuatroCienegas	95.1	Streptomyces sp. CC219B	T1PKS	butyrolactone	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	63
fig|6666666.540620.peg.11221	CuatroCienegas	194.1	Streptomyces sp. CC226D	NRPS	NRPS	sarpeptin A / sarpeptin B	91
fig|6666666.737888.peg.4927	CuatroCienegas	60.2	Streptomyces sp. CC219B	T1PKS	T1PKS	pyrrolomycin A / pyrrolomycin B / pyrrolomycin C / pyrrolomycin D	42
fig|6666666.590941.peg.777	CuatroCienegas	49.1	Streptomyces lentzea CC1301	LAP	thiopeptide		
fig|6666666.737887.peg.1941	CuatroCienegas	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.590939.peg.6740	CuatroCienegas	205.1	Streptomyces rochei CC397	T1PKS	T1PKS	vicenistatin	60
fig|6666666.590940.peg.1688	CuatroCienegas	42.3	Streptomyces rochei CC681	T1PKS	T1PKS	vicenistatin	60
fig|6666666.563202.peg.8226	CuatroCienegas	96.1	Streptomyces sp. CC224B	T1PKS	T1PKS	diisonitrile antibiotic SF2768	11
fig|6666666.737888.peg.2165	CuatroCienegas	93.1	Streptomyces sp. CC219B	indole	indole	7-prenylisatin	60
fig|6666666.590941.peg.5700	CuatroCienegas	43.1	Streptomyces lentzea CC1269	ladderane	T1PKS	vancosamine	100
fig|6666666.590940.peg.7090	CuatroCienegas	26.1	Streptomyces rochei CC585	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	47
