ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.590939.peg.2802	6.1	Streptomyces rochei CC48	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2803	6.1	Streptomyces rochei CC49	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2804	6.1	Streptomyces rochei CC50	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2805	6.1	Streptomyces rochei CC51	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2806	6.1	Streptomyces rochei CC52	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2807	6.1	Streptomyces rochei CC53	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2808	6.1	Streptomyces rochei CC54	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2809	6.1	Streptomyces rochei CC55	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2810	6.1	Streptomyces rochei CC56	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2811	6.1	Streptomyces rochei CC57	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2812	6.1	Streptomyces rochei CC58	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2813	6.1	Streptomyces rochei CC59	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2814	6.1	Streptomyces rochei CC60	T2PKS	T2PKS	kinamycin	31
fig|6666666.590939.peg.2898	9.1	Streptomyces rochei CC61	NRPS	NRPS	coelichelin	18
fig|6666666.590939.peg.2899	9.1	Streptomyces rochei CC62	NRPS	NRPS	coelichelin	18
fig|6666666.590939.peg.2900	9.1	Streptomyces rochei CC63	NRPS	NRPS	coelichelin	18
fig|6666666.590939.peg.4677	10.1	Streptomyces rochei CC64	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4678	10.1	Streptomyces rochei CC65	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4679	10.1	Streptomyces rochei CC66	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4680	10.1	Streptomyces rochei CC67	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4681	10.1	Streptomyces rochei CC68	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4682	10.1	Streptomyces rochei CC69	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4683	10.1	Streptomyces rochei CC70	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4684	10.1	Streptomyces rochei CC71	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4685	10.1	Streptomyces rochei CC72	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4686	10.1	Streptomyces rochei CC73	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4687	10.1	Streptomyces rochei CC74	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4688	10.1	Streptomyces rochei CC75	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4689	10.1	Streptomyces rochei CC76	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.2043	13.1	Streptomyces rochei CC77	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.2044	13.1	Streptomyces rochei CC78	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.2045	13.1	Streptomyces rochei CC79	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.2046	13.1	Streptomyces rochei CC80	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.2047	13.1	Streptomyces rochei CC81	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.rna.17	13.1	Streptomyces rochei CC82	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.2048	13.1	Streptomyces rochei CC83	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.2049	13.1	Streptomyces rochei CC84	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.6685	17.1	Streptomyces rochei CC85	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6686	17.1	Streptomyces rochei CC86	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6687	17.1	Streptomyces rochei CC87	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6688	17.1	Streptomyces rochei CC88	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6689	17.1	Streptomyces rochei CC89	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6690	17.1	Streptomyces rochei CC90	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6691	17.1	Streptomyces rochei CC91	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6692	17.1	Streptomyces rochei CC92	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6693	17.1	Streptomyces rochei CC93	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6694	17.1	Streptomyces rochei CC94	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6695	17.1	Streptomyces rochei CC95	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6696	17.1	Streptomyces rochei CC96	terpene	terpene	albaflavenone	100
fig|6666666.590939.peg.6803	22.1	Streptomyces rochei CC97	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6804	22.1	Streptomyces rochei CC98	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6805	22.1	Streptomyces rochei CC99	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6806	22.1	Streptomyces rochei CC100	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6807	22.1	Streptomyces rochei CC101	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6808	22.1	Streptomyces rochei CC102	T1PKS	NRPS	antimycin	31
fig|6666666.590939.peg.6809	22.1	Streptomyces rochei CC103	T1PKS	NRPS	antimycin	31
