ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.737887.peg.394	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.6609	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.80	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.1062	Cuatro_cienegas	Intraclusteric	 Streptomyces sp CC208A	lanthipeptide	venezuelin
fig|6666666.737887.peg.5633	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.4943	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3186	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.892	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.6973	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.2173	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3004	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.5122	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.4494	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.2830	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.1101	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.1847	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3908	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.6900	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.2880	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.1120	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.5652	Cuatro_cienegas	Intraclusteric	 Streptomyces sp CC208A	NRPS	rustmicin
fig|6666666.737887.peg.1242	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.1971	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3295	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.5297	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.2353	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.2175	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.208	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.6138	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.6772	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.4848	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3328	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.5179	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737888.peg.5955	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.4140	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.627	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B Streptomyces sp. CC219B Streptomyces sp. CC219B Streptomyces sp. CC219B Streptomyces sp. CC219B Streptomyces sp. CC219B Streptomyces sp. CC219B	NRPS T1PKS NRPS T1PKS NRPS T1PKS NRPS T1PKS NRPS T1PKS NRPS T1PKS NRPS T1PKS	lankamycin lankamycin lankamycin lankamycin lankamycin lankamycin lankamycin
fig|6666666.737888.peg.5195	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.5372	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.862	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.6453	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.2901	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.4250	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.3033	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.3555	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.4732	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.8166	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.6462	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.3868	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.7030	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.4433	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.2139	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.3108	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.7481	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B	NRPS-like	zorbamycin
fig|6666666.737888.peg.1151	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B	terpene	carotenoid
fig|6666666.737888.peg.7216	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.6027	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.4868	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.225	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B	NRPS melanin	istamycin
fig|6666666.737888.peg.6455	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.5556	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.7915	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B	T3PKS	formicamycins A-M
fig|6666666.737888.peg.2096	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.6488	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.6594	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.3504	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.2733	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.5653	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.8229	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.2964	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.8059	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
