Id	Cluster
6666666.540227.peg.3170	Yes
6666666.540621.peg.2722	Yes
6666666.540754.peg.7364	Yes
6666666.563199.peg.10347	Yes
6666666.563202.peg.297	Yes
6666666.582862.peg.10026	Yes
6666666.584551.peg.6640	Yes
6666666.590938.peg.5027	Yes
6666666.590939.peg.6073	Yes
6666666.590940.peg.5426	Yes
6666666.590941.peg.7167	Yes
6666666.590941.peg.7170	Yes
