fig|6666666.737888.rna.61	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.rna.14	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.rna.12	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.rna.11	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.rna.10	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.peg.914	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.913	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.912	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.911	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.910	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.909	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.908	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.907	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.906	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.905	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.904	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.903	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.902	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.901	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.900	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.899	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.898	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.897	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.896	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.895	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.894	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.893	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.892	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.891	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.890	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.889	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.888	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.887	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.886	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.885	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.884	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.883	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.882	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.881	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.880	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.879	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.878	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.877	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.876	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.875	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.874	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.8210	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8209	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8208	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8207	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8206	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8205	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8204	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8203	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8202	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8201	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8200	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8199	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8198	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8197	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8196	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8195	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8194	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8193	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8192	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8191	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8190	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8189	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8188	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8187	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.8106	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8105	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8104	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8103	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8102	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8101	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8100	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8099	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8098	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8097	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8096	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8095	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8094	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8093	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.737888.peg.8092	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
