ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.540227.peg.889	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.890	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.891	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.892	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.893	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.894	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.895	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.896	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.897	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.898	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.899	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.900	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.901	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.902	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.903	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.904	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.905	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.906	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.907	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.908	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.909	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.910	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.911	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.912	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.913	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.914	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.915	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.916	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.917	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.918	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.919	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.920	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.921	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.922	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.923	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.924	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.925	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.926	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.927	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.928	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.929	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.930	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.931	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.932	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.933	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.934	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.935	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.936	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.937	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.938	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.939	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.940	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.941	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.942	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.943	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.944	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.1055	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1056	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1057	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1058	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1059	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1060	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1061	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1062	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1063	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1064	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1065	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1066	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1067	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1068	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1069	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1070	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1071	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1072	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1073	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1074	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1075	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1076	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.1077	24.1	Nocardia sp. CC227C	T1PKS	T1PKS		
