ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.2921	CuatroCienegas	95.1	Streptomyces sp CC208A	terpene	terpene	hopene	69
fig|6666666.737888.peg.1786	CuatroCienegas	9.1	Streptomyces sp. CC219B	ectoine	ectoine	ectoine	100
fig|6666666.737888.peg.8208	CuatroCienegas	16.2	Streptomyces sp. CC219B	terpene	terpene	hopene	92
fig|6666666.737888.peg.7915	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.540227.peg.6663	CuatroCienegas	44.3	Nocardia sp. CC227C	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540227.peg.5630	CuatroCienegas	1.1	Nocardia sp. CC227C	T1PKS	NRPS	streptolydigin	7
fig|6666666.540227.peg.4187	CuatroCienegas	39.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.7320	CuatroCienegas	17.2	Nocardia sp. CC227C	NRPS-like	NRPS-like		
fig|6666666.540227.peg.65	CuatroCienegas	3.1	Nocardia sp. CC227C	hglE-KS	hglE-KS		
fig|6666666.540227.peg.608	CuatroCienegas	3.4	Nocardia sp. CC227C	arylpolyene	T3PKS		
fig|6666666.540227.peg.6573	CuatroCienegas	44.2	Nocardia sp. CC227C	T2PKS	T2PKS	enterocin	60
fig|6666666.540227.peg.6575	CuatroCienegas	44.2	Nocardia sp. CC227C	T2PKS	T2PKS	enterocin	60
fig|6666666.540227.peg.2758	CuatroCienegas	37.1	Nocardia sp. CC227C	NRPS	NRPS	zorbamycin	4
fig|6666666.540227.peg.4277	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540613.peg.300	CuatroCienegas	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.6484	CuatroCienegas	29.1	Nocardia sp. CC213A	NRPS	NRPS	aurantimycin A	6
fig|6666666.540613.peg.3903	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.4687	CuatroCienegas	18.1	Nocardia sp. CC213A	hglE-KS	hglE-KS	paramagnetoquinone 1 / paramagnetoquinone 2	10
fig|6666666.540613.peg.3921	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.3467	CuatroCienegas	38.1	Nocardia sp. CC213A	T3PKS	arylpolyene		
fig|6666666.540613.peg.3356	CuatroCienegas	15.4	Nocardia sp. CC213A	NRPS	NRPS	hygrocin A / hygrocin B	6
fig|6666666.540613.peg.5971	CuatroCienegas	40.1	Nocardia sp. CC213A	NRPS	NRPS	nocobactin NA	37
