ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.691810.peg.2400	48.1	Streptomyces sp. CC219CV1	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.2401	48.1	Streptomyces sp. CC219CV2	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.2402	48.1	Streptomyces sp. CC219CV3	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.2403	48.1	Streptomyces sp. CC219CV4	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.2404	48.1	Streptomyces sp. CC219CV5	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.2405	48.1	Streptomyces sp. CC219CV6	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.2406	48.1	Streptomyces sp. CC219CV7	terpene	terpene	ebelactone	5
fig|6666666.691810.peg.992	76.1	Streptomyces sp. CC219CV8	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.993	76.1	Streptomyces sp. CC219CV9	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.994	76.1	Streptomyces sp. CC219CV10	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.995	76.1	Streptomyces sp. CC219CV11	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.996	76.1	Streptomyces sp. CC219CV12	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.997	76.1	Streptomyces sp. CC219CV13	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.998	76.1	Streptomyces sp. CC219CV14	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.999	76.1	Streptomyces sp. CC219CV15	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.1000	76.1	Streptomyces sp. CC219CV16	NRPS	NRPS	holomycin	23
fig|6666666.691810.peg.5274	91.1	Streptomyces sp. CC219CV17	terpene	terpene	carotenoid	18
fig|6666666.691810.peg.5275	91.1	Streptomyces sp. CC219CV18	terpene	terpene	carotenoid	18
fig|6666666.691810.peg.3629	104.1	Streptomyces sp. CC219CV19	siderophore	siderophore	ficellomycin	3
fig|6666666.691810.peg.3630	104.1	Streptomyces sp. CC219CV20	siderophore	siderophore	ficellomycin	3
fig|6666666.691810.peg.3631	104.1	Streptomyces sp. CC219CV21	siderophore	siderophore	ficellomycin	3
fig|6666666.691810.peg.3632	104.1	Streptomyces sp. CC219CV22	siderophore	siderophore	ficellomycin	3
fig|6666666.691810.peg.3633	104.1	Streptomyces sp. CC219CV23	siderophore	siderophore	ficellomycin	3
fig|6666666.691810.peg.2898	128.1	Streptomyces sp. CC219CV24	butyrolactone	butyrolactone		
fig|6666666.691810.peg.2899	128.1	Streptomyces sp. CC219CV25	butyrolactone	butyrolactone		
fig|6666666.691810.peg.2900	128.1	Streptomyces sp. CC219CV26	butyrolactone	butyrolactone		
fig|6666666.691810.peg.2901	128.1	Streptomyces sp. CC219CV27	butyrolactone	butyrolactone		
fig|6666666.691810.peg.2902	128.1	Streptomyces sp. CC219CV28	butyrolactone	butyrolactone		
fig|6666666.691810.peg.2903	128.1	Streptomyces sp. CC219CV29	butyrolactone	butyrolactone		
fig|6666666.691810.peg.2482	262.1	Streptomyces sp. CC219CV30	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.691810.peg.2483	262.1	Streptomyces sp. CC219CV31	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.691810.peg.2484	262.1	Streptomyces sp. CC219CV32	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.691810.peg.4266	288.1	Streptomyces sp. CC219CV33	NRPS	NRPS		
fig|6666666.691810.peg.2105	349.1	Streptomyces sp. CC219CV34	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2106	349.1	Streptomyces sp. CC219CV35	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2107	349.1	Streptomyces sp. CC219CV36	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2108	349.1	Streptomyces sp. CC219CV37	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2109	349.1	Streptomyces sp. CC219CV38	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2110	349.1	Streptomyces sp. CC219CV39	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2111	349.1	Streptomyces sp. CC219CV40	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2112	349.1	Streptomyces sp. CC219CV41	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2113	349.1	Streptomyces sp. CC219CV42	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2114	349.1	Streptomyces sp. CC219CV43	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2115	349.1	Streptomyces sp. CC219CV44	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2116	349.1	Streptomyces sp. CC219CV45	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2117	349.1	Streptomyces sp. CC219CV46	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2118	349.1	Streptomyces sp. CC219CV47	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2119	349.1	Streptomyces sp. CC219CV48	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.2120	349.1	Streptomyces sp. CC219CV49	NRPS	NRPS	malonomycin	11
fig|6666666.691810.peg.1044	367.1	Streptomyces sp. CC219CV50	terpene	terpene	hopene	15
fig|6666666.691810.peg.1045	367.1	Streptomyces sp. CC219CV51	terpene	terpene	hopene	15
fig|6666666.691810.peg.1046	367.1	Streptomyces sp. CC219CV52	terpene	terpene	hopene	15
fig|6666666.691810.peg.1047	367.1	Streptomyces sp. CC219CV53	terpene	terpene	hopene	15
fig|6666666.691810.peg.1048	367.1	Streptomyces sp. CC219CV54	terpene	terpene	hopene	15
fig|6666666.691810.peg.1049	367.1	Streptomyces sp. CC219CV55	terpene	terpene	hopene	15
fig|6666666.691810.peg.1050	367.1	Streptomyces sp. CC219CV56	terpene	terpene	hopene	15
fig|6666666.691810.peg.1051	367.1	Streptomyces sp. CC219CV57	terpene	terpene	hopene	15
fig|6666666.691810.peg.1052	367.1	Streptomyces sp. CC219CV58	terpene	terpene	hopene	15
fig|6666666.691810.peg.1053	367.1	Streptomyces sp. CC219CV59	terpene	terpene	hopene	15
fig|6666666.691810.peg.5787	409.1	Streptomyces sp. CC219CV60	terpene	terpene		
fig|6666666.691810.peg.5788	409.1	Streptomyces sp. CC219CV61	terpene	terpene		
fig|6666666.691810.peg.2095	424.1	Streptomyces sp. CC219CV62	NRPS	NRPS	atratumycin	7
fig|6666666.691810.peg.2096	424.1	Streptomyces sp. CC219CV63	NRPS	NRPS	atratumycin	7
fig|6666666.691810.peg.4289	426.1	Streptomyces sp. CC219CV64	NRPS	NRPS		
fig|6666666.691810.peg.4290	426.1	Streptomyces sp. CC219CV65	NRPS	NRPS		
fig|6666666.691810.peg.4291	426.1	Streptomyces sp. CC219CV66	NRPS	NRPS		
fig|6666666.691810.peg.2217	478.1	Streptomyces sp. CC219CV67	ectoine	ectoine	ectoine	100
fig|6666666.691810.peg.2218	478.1	Streptomyces sp. CC219CV68	ectoine	ectoine	ectoine	100
fig|6666666.691810.peg.2219	478.1	Streptomyces sp. CC219CV69	ectoine	ectoine	ectoine	100
fig|6666666.691810.peg.2220	478.1	Streptomyces sp. CC219CV70	ectoine	ectoine	ectoine	100
