ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.563201.peg.1198	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1199	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1200	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1201	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1202	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1203	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1204	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1205	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1206	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1207	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1208	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1209	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1210	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.1211	14.1	Streptomyces sp. CC216C	T3PKS	T3PKS	alkylresorcinol	100
fig|6666666.563201.peg.6482	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6483	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6484	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6485	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6486	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6487	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6488	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6489	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6490	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6491	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6492	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6493	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6494	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6495	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6496	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6497	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6498	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6499	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.6500	16.1	Streptomyces sp. CC216C	T1PKS	NRPS	heat-stable antifungal factor	75
fig|6666666.563201.peg.2111	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2112	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2113	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2114	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2115	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2116	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2117	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2118	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2119	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2120	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2121	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2122	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.2123	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563201.peg.6135	66.1	Streptomyces sp. CC216C	NRPS	NRPS		
fig|6666666.563201.peg.6096	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6097	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6098	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6099	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6100	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6101	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6102	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6103	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6104	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6105	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6106	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6107	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6108	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6109	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6110	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
fig|6666666.563201.peg.6111	89.1	Streptomyces sp. CC216C	terpene	terpene	geosmin	100
