ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0000105_AAP42853	MiBIG	Intraclusteric	Streptomyces nanchangensis	nanchangmycin	Polyketide
BGC0000206_CAH10160	MiBIG	Intraclusteric	Streptomyces chartreusis	chartreusin	Polyketide
BGC0000020_AAM54096	MiBIG	Intraclusteric	Actinosynnema pretiosum subsp. auranticum	ansamitocin	Polyketide
BGC0001511_AQZ37105	MiBIG	Intraclusteric	Actinosynnema pretiosum subsp. pretiosum	ansamitocin P-3	Polyketide
BGC0000105_AAP42854	MiBIG	Intraclusteric	Streptomyces nanchangensis	nanchangmycin	Polyketide
BGC0001288_BAQ25500	MiBIG	Intraclusteric	Micromonospora sp. GMKU326	maklamicin	Polyketide
BGC0001439_OWA01684	MiBIG	Intraclusteric	Streptomyces sp. CS113	cervimycin	Polyketide-Saccharide
BGC0000194_CAC44198	MiBIG	Intraclusteric	Streptomyces coelicolor A3(2)	actinorhodin	Polyketide
BGC0001433_SCO70300	MiBIG	Intraclusteric	Streptomyces argillaceus	argimycin P	Polyketide
BGC0000038_CAC37881	MiBIG	Intraclusteric	Streptomyces coelicolor A3(2)	coelimycin	Polyketide
BGC0000952_CBW45731	MiBIG	Intraclusteric	Streptomyces pristinaespiralis	pristinamycin	NRP-Polyketide
BGC0001513_AUO15556	MiBIG	Intraclusteric	Actinobacteria bacterium	anthrabenzoxocinone	Polyketide
