ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.540613.peg.173	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.174	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.175	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.176	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.177	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.178	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.179	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.180	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.181	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.182	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.183	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.184	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.185	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.186	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.187	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.188	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.189	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.190	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.191	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.192	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
