ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.540754.peg.712	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.713	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.714	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.715	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.716	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.717	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.718	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.719	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.720	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.721	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.722	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.723	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.724	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.725	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.726	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.727	41.1	Streptomyces sp. CC224E	lassopeptide	lassopeptide	SRO15-2005	87
fig|6666666.540754.peg.964	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.965	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.966	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.967	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.968	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.969	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.970	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.971	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
fig|6666666.540754.peg.972	29.1	Streptomyces sp. CC224E	T3PKS	T3PKS	daptomycin	10
