fig|6666666.540612.peg.5203	no_cluster
fig|6666666.540621.peg.2434	no_cluster
fig|6666666.563199.peg.4279	cluster	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	no_cluster
fig|6666666.687569.peg.3379	no_cluster
BGC0000413	cluster	Pseudomonas protegens Pf-5	pyoverdine	NRP
BGC0000462	cluster	Pseudomonas putida	WLIP	NRP
BGC0000014	cluster	Sorangium cellulosum	ambruticin	Polyketide
BGC0000080	cluster	Sorangium cellulosum	jerangolid	Polyketide
BGC0001588	cluster	Burkholderia pseudomallei 1026b	exopolysaccharides	Saccharide
BGC0001589	cluster	Burkholderia cenocepacia J2315	exopolysaccharides	Saccharide
BGC0001120	cluster	Burkholderia thailandensis E264	burkholderic acid	NRP-Polyketide
BGC0000413	cluster	Pseudomonas protegens Pf-5	pyoverdine	NRP
BGC0001093	cluster	Sorangium cellulosum	disorazole	NRP-Polyketide
BGC0001093	cluster	Sorangium cellulosum	disorazole	NRP-Polyketide
BGC0000014	cluster	Sorangium cellulosum	ambruticin	Polyketide
BGC0001056	cluster	Serratia plymuthica RVH1	zeamine	NRP-Other-Polyketide
BGC0001521	cluster	Herpetosiphon aurantiacus DSM 785	auriculamide	NRP
BGC0001591	cluster	uncultured bacterium CSLC2	fatty acid enol ester	Other
BGC0001688	cluster	uncultured bacterium CSLC2	N-tetradecanoyl tyrosine	Other
BGC0001195	cluster	Nocardiopsis sp. CMB-M0232	nocardiopsin	NRP-Polyketide
BGC0000700	cluster	Streptomyces tenjimariensis	istamycin	Saccharide
BGC0001122	cluster	Aspergillus terreus NIH2624	isoflavipucine	NRP-Polyketide
BGC0000316	cluster	Saccharothrix mutabilis subsp. capreolus	capreomycin	NRP
BGC0000033	cluster	Micromonospora echinospora	calicheamicin	Polyketide
BGC0001288	cluster	Micromonospora sp. GMKU326	maklamicin	Polyketide
BGC0001208	cluster	Pseudomonas poae RE*1-1-14	poaeamide	NRP
BGC0001582	cluster	Nonomuraea sp. MJM5123	ecumicin	NRP
BGC0000336	cluster	Streptomyces roseosporus NRRL 11379	daptomycin	NRP
BGC0000558	cluster	Bacillus subtilis subsp. subtilis str. 168	sublancin 168	RiPP
BGC0000595	cluster	Streptomyces coelicolor A3(2)	SCO-2138	RiPP
BGC0000596	cluster	Streptomyces lividans TK24	SLI-2138	RiPP
BGC0000380	cluster	Sorangium cellulosum	leupyrrin	NRP-Polyketide
BGC0000703	cluster	Streptomyces kanamyceticus	kanamycin	Saccharide
BGC0000001	cluster	Verrucosispora maris AB-18-032	abyssomicin	Polyketide
BGC0000620	cluster	Lactococcus lactis	lacticin Q	RiPP
BGC0001525	cluster	Synechocystis salina LEGE 06155	bartoloside 2-bartoloside 3-bartoloside 4	Other
BGC0001101	cluster	Streptomyces atroolivaceus	leinamycin	NRP-Polyketide
BGC0000501	cluster	Catenulispora acidiphila DSM 44928	catenulipeptin	RiPP
BGC0001391	cluster	Bacillus thuringiensis serovar rongseni	thusin	RiPP
BGC0001526	cluster	Synechocystis salina LEGE 06099	bartolosides E-bartolosides F-bartolosides G-bartolosides H-bartolosides I-bartolosides J-bartolosides K	Other
BGC0000347	cluster	Streptococcus equi subsp. equi	equibactin	NRP
BGC0000709	cluster	Streptomyces fradiae	neomycin	Saccharide
BGC0000710	cluster	Streptomyces fradiae	neomycin	Saccharide
BGC0000626	cluster	Bacillus thuringiensis	thuricin	RiPP
BGC0001555	cluster	Escherichia coli chi7122	colicin V	RiPP
BGC0001492	cluster	Streptomyces sp. LC-6-2	abyssomicins M-X	Polyketide
BGC0000703	cluster	Streptomyces kanamyceticus	kanamycin	Saccharide
BGC0000452	cluster	Brevibacillus brevis NBRC 100599	tyrocidine	NRP
BGC0000452	cluster	Brevibacillus brevis NBRC 100599	tyrocidine	NRP
BGC0001515	cluster	Aspergillus nidulans FGSC A4	aspercryptins	NRP
BGC0000617	cluster	Bacillus coagulans	coagulin	RiPP
BGC0001088	cluster	Xanthomonas albilineans	albicidin	NRP-Polyketide
BGC0000692	cluster	Streptoalloteichus hindustanus	apramycin	Saccharide
BGC0001398	cluster	Phomopsis leptostromiformis	phomopsin A-phomopsin B-phomopsin E	RiPP
BGC0001407	cluster	Bacillus cereus SJ1	bicereucin	RiPP
BGC0000932	cluster	Phaeobacter inhibens DSM 17395	tropodithietic acid	Other
BGC0001362	cluster	Phaeobacter inhibens DSM 17395	tropodithietic acid	Other
BGC0001694	cluster	Streptomyces koyangensis	meoabyssomicin-abyssomicin	Polyketide
