ID	Region	Organism	Type1	Type2	Product	Similarity
fig|1823.7.peg.7521	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7522	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7523	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7524	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7525	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7526	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7527	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7528	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7529	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7530	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7531	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7532	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7533	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7534	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7535	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7536	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7537	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7538	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7539	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7540	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7541	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7542	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7543	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
fig|1823.7.peg.7544	2.1	Nocardia otitidiscaviarum sp. CC201C	bacteriocin	NRPS		
