ID	Region	Organism	Type1	Type2	Product	Similarity
fig|6666666.584551.peg.65	57.1	Streptomyces sp. CC219Ahybcontrimo	butyrolactone	butyrolactone		
fig|6666666.584551.peg.66	57.1	Streptomyces sp. CC219Ahybcontrimo	butyrolactone	butyrolactone		
fig|6666666.584551.peg.67	57.1	Streptomyces sp. CC219Ahybcontrimo	butyrolactone	butyrolactone		
fig|6666666.584551.peg.68	57.1	Streptomyces sp. CC219Ahybcontrimo	butyrolactone	butyrolactone		
fig|6666666.584551.peg.69	57.1	Streptomyces sp. CC219Ahybcontrimo	butyrolactone	butyrolactone		
fig|6666666.584551.peg.70	57.1	Streptomyces sp. CC219Ahybcontrimo	butyrolactone	butyrolactone		
fig|6666666.584551.peg.71	132.1	Streptomyces sp. CC219Ahybcontrimo	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.584551.peg.72	132.1	Streptomyces sp. CC219Ahybcontrimo	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.584551.peg.73	132.1	Streptomyces sp. CC219Ahybcontrimo	NRPS-like	NRPS-like	cyphomycin	2
fig|6666666.584551.peg.85	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.86	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.87	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.88	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.89	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.90	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.91	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.92	228.1	Streptomyces sp. CC219Ahybcontrimo	ectoine	ectoine	ectoine	100
fig|6666666.584551.peg.1025	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1026	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1027	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1028	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1029	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1030	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1031	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1032	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1033	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1034	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1035	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1036	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1037	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1038	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1039	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1040	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1041	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1042	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1043	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1044	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1045	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1046	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1047	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1048	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1049	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1050	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1051	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1052	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
fig|6666666.584551.peg.1053	322.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	desotamide	27
