fig|6666666.737888.rna.61	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.rna.14	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.rna.12	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.rna.11	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.rna.10	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.peg.914	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.913	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.912	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.911	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.910	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.909	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.908	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.907	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.906	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.905	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.904	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.903	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.902	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.901	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.900	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.899	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.898	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.897	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.896	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.895	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.894	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.893	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.892	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.891	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.890	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.889	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.888	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.887	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.886	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
